Date,Date_Time,Num_Coins,Reported_Hash,Calculated_Hash,Diff
2021-12-08,17:02:52.087989,916559.2802019,31,29,488.56942761002574
2021-12-08,17:18:02.423410,916851.86404619,31,19,292.5838442899985
2021-12-08,17:33:12.669599,917562.70933145,31,24,710.8452852600021
2021-12-08,17:48:23.079726,918015.08402559,31,34,452.3746941399295
2021-12-08,20:33:16.708368,924361.44647672,31,19,6346.362451130059
2021-12-09,19:32:59.432595,924762.34572441,30,0,400.89924768998753
2021-12-09,19:48:09.814048,925804.11899077,31,15,1041.7732663599309
2021-12-09,20:03:20.335281,925804.11899077,31,29,0.0
2021-12-09,20:18:30.658314,926015.38931246,31,19,211.27032169001177
2021-12-09,20:33:40.995966,926589.5590695,31,24,574.1697570399847
2021-12-09,20:48:51.501734,927022.90638239,31,39,433.3473128899932
2021-12-09,21:04:03.060000,928371.75965618,31,29,1348.8532737900969
2021-12-09,21:19:14.066118,929101.19552114,31,29,729.4358649599599
2021-12-09,21:34:24.519392,929759.32951791,31,34,658.1339967700187
2021-12-09,21:49:35.352212,930194.07623496,31,34,434.7467170499731
2021-12-09,22:04:45.748744,930628.52884061,31,24,434.4526056499453
2021-12-09,22:19:56.122060,931421.34640343,31,39,792.8175628200406
2021-12-09,22:35:06.665340,931837.8136548,31,24,416.46725136996247
2021-12-09,22:50:17.136370,932081.50273852,31,63,243.68908372009173
2021-12-09,23:05:27.883953,935137.31515538,31,68,3055.812416860019
2021-12-09,23:20:38.353773,936590.41145417,31,48,1453.0962987899547
2021-12-09,23:35:49.113974,936877.8319556,31,34,287.42050142993685
2021-12-09,23:50:59.710453,937614.31582108,31,29,736.4838654800551
2021-12-10,00:06:11.447055,938424.56614878,31,29,810.2503277000505
2021-12-10,09:50:57.302557,938614.2750198,31,87,189.70887102000407
2021-12-10,10:06:08.217291,938614.2750198,31,0,0.0
2021-12-10,10:21:18.781700,938958.74883874,31,0,344.4738189399941
2021-12-10,10:36:29.344072,939672.33636424,31,34,713.5875254999846
2021-12-10,10:51:39.875784,940241.93426155,31,19,569.5978973099263
2021-12-10,11:06:50.323070,940497.09797023,31,19,255.16370868007647
2021-12-10,11:22:00.945763,941493.98103962,31,24,996.8830693899654
2021-12-10,11:37:11.393737,943935.36423448,31,73,2441.3831948599545
2021-12-10,11:52:22.087148,943935.36423448,31,39,0.0
2021-12-10,12:07:32.484216,943935.36423448,31,29,0.0
2021-12-10,12:22:42.856172,944739.81599352,31,39,804.4517590400064
2021-12-10,12:37:53.428240,944940.54187362,31,19,200.72588010004256
2021-12-10,12:53:03.900033,945237.64447833,31,34,297.1026047100313
2021-12-10,13:08:14.696858,945849.0867082,31,39,611.4422298700083
2021-12-10,13:23:25.070539,946593.22849313,31,53,744.1417849299032
2021-12-10,13:38:35.517785,947029.53429178,31,24,436.30579865002073
2021-12-10,13:53:46.003881,947355.26301448,31,10,325.72872270003427
2021-12-10,14:08:56.176894,947441.78233856,31,15,86.51932407997083
2021-12-10,14:24:06.626334,947563.48209417,31,19,121.6997556099668
2021-12-10,14:39:17.081443,947685.63816062,31,29,122.15606645005757
2021-12-10,15:58:10.252537,949549.00275907,31,44,1863.364598450018
2021-12-10,16:13:20.672592,950876.59698221,31,34,1327.594223139924
2021-12-10,16:28:31.046717,952158.45778085,31,34,1281.8607986400602
2021-12-10,16:43:41.422156,952605.78173802,31,29,447.32395717001054
2021-12-10,16:58:51.805164,953234.70588291,31,29,628.924144890043
2021-12-10,17:14:02.344227,954097.42282008,31,19,862.7169371698983
2021-12-10,17:29:17.232066,954097.42282008,31,15,0.0
2021-12-10,17:44:27.728200,954158.72437269,31,15,61.30155261000618
2021-12-10,17:59:38.181187,954432.31255712,31,19,273.5881844300311
2021-12-10,18:14:48.614246,955343.48215981,31,39,911.1696026900318
2021-12-10,18:29:59.030778,955633.43908158,31,48,289.95692177000456
2021-12-10,18:45:12.463254,956103.84473517,31,39,470.4056535899872
2021-12-10,19:00:23.131293,958095.89354339,31,34,1992.048808219959
2021-12-10,19:15:33.629185,958095.89354339,31,44,0.0
2021-12-10,19:30:44.163199,959165.5724906,31,39,1069.678947210079
2021-12-10,19:45:54.544999,959689.41927641,31,10,523.8467858099611
2021-12-10,20:01:05.207610,959936.83549016,31,10,247.41621375002435
2021-12-10,20:16:16.058983,960801.70576876,31,39,864.8702785999049
2021-12-10,20:31:26.766948,961179.01303688,31,39,377.3072681199992
2021-12-10,20:46:37.212573,961452.9394686,30,10,273.92643172002863
2021-12-10,21:02:16.086521,961847.44217216,31,24,394.5027035600506
2021-12-11,12:43:56.024356,962352.22494385,30,0,504.7827716899337
2021-12-11,12:59:06.536001,962840.65644231,31,10,488.431498460006
2021-12-11,13:14:17.142009,963021.66399702,31,19,181.00755471002776
2021-12-11,13:29:27.674566,963347.3942141,31,24,325.73021707998123
2021-12-11,13:44:38.148837,963950.85515586,31,44,603.4609417599859
2021-12-11,13:59:48.647888,964765.2685184,31,48,814.4133625400718
2021-12-11,14:14:58.979768,964977.93505026,31,5,212.6665318600135
2021-12-11,14:30:09.509014,965164.14867908,30,10,186.2136288199108
2021-12-11,14:45:20.066113,966569.35417017,31,48,1405.205491090077
2021-12-11,15:00:30.617217,967300.15266161,30,48,730.7984914400149
2021-12-11,15:15:41.656833,967567.51301731,30,24,267.36035569990054
2021-12-11,15:30:51.945523,967848.67925739,31,44,281.1662400800269
2021-12-11,15:46:02.511546,968363.76856122,31,44,515.0893038300565
2021-12-11,16:01:12.776067,968764.04494004,31,10,400.2763788199518
2021-12-11,16:16:23.460697,969176.46840289,31,24,412.4234628500417
2021-12-11,16:31:33.871632,969468.12631539,31,24,291.6579124999698
2021-12-11,16:46:44.668821,970393.87748763,31,24,925.7511722400086
2021-12-11,17:01:54.989810,970393.87748763,31,58,0.0
2021-12-11,17:17:05.112622,972021.23693836,31,48,1627.3594507300295
2021-12-11,17:32:15.491710,972809.34961457,31,29,788.112676210003
2021-12-11,18:49:18.106481,977944.28754337,31,39,5134.9379288000055
